Title,Year,Rating,Genres,Streaming_Services,URL
Guntur Kaaram,2024, 6.4,"Kids & Family, Action & Adventure, Drama",['Bookmyshow'],https://www.justwatch.com/in/movie/ssmb-28
Zara Hatke Zara Bachke,2023, 6.4,"Drama, Romance, Comedy, Kids & Family",[],https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke
Tejas,2023, 5.3,"Action & Adventure, Drama, Mystery & Thriller",[],https://www.justwatch.com/in/movie/tejas
Dada,2023, 8.2,"Romance, Drama, Comedy, Kids & Family",['Amazon Prime Video'],https://www.justwatch.com/in/movie/dada-2023
Merry Christmas,2024, 8.0,"Drama, Mystery & Thriller",[],https://www.justwatch.com/in/movie/merry-christmas-2024
Extra Ordinary Man,2023, 5.4,"Drama, Action & Adventure",[],https://www.justwatch.com/in/movie/extra
Role Play,2023, 5.4,"Action & Adventure, Comedy, Romance",['Amazon Prime Video'],https://www.justwatch.com/in/movie/role-play-2023
Antony,2023, 6.8,"Action & Adventure, Drama, Kids & Family, Mystery & Thriller",['Amazon Prime Video'],https://www.justwatch.com/in/movie/antony-2023
Godzilla Minus One,2023, 8.3,"Science-Fiction, Horror, Action & Adventure, Drama",[],https://www.justwatch.com/in/movie/godzilla-minus-one
777 Charlie,2022, 8.8,"Comedy, Drama",['Voot'],https://www.justwatch.com/in/movie/777-charlie
Leave the World Behind,2023, 6.5,"Science-Fiction, Drama, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/movie/leave-the-world-behind-2023
Joe,2023, 7.7,Drama,[],https://www.justwatch.com/in/movie/joe-2023
Wonka,2023, 7.2,"Comedy, Kids & Family, Fantasy","['Apple TV', 'Bookmyshow', 'Apple TV', 'Apple TV']",https://www.justwatch.com/in/movie/wonka
The Batman,2022, 7.8,"Mystery & Thriller, Crime, Action & Adventure, Drama","['Apple TV', 'Netflix', 'Amazon Video', 'Google Play Movies']",https://www.justwatch.com/in/movie/the-batman
Starfish,2023, 6.9,"Drama, Mystery & Thriller, Romance",['Netflix'],https://www.justwatch.com/in/movie/starfish-2023
Pathaan,2023, 5.9,"Mystery & Thriller, Action & Adventure","['Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Google Play Movies']",https://www.justwatch.com/in/movie/pathaan
Dumb Money,2023, 6.9,"Drama, Comedy","['Apple TV', 'Netflix', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/dumb-money
Keedaa Cola,2023, 8.1,"Action & Adventure, Comedy, Crime",['aha'],https://www.justwatch.com/in/movie/keedaa-cola
Curry & Cyanide: The Jolly Joseph Case,2023,no rating info,"Documentary, Crime",['Netflix'],https://www.justwatch.com/in/movie/curry-and-cyanide-the-jolly-joseph-case
Fast X,2023, 5.8,"Action & Adventure, Crime, Mystery & Thriller","['Apple TV', 'Jio Cinema', 'Zee5', 'Apple TV']",https://www.justwatch.com/in/movie/fast-x
My Name Is Shruthi,2023, 8.1,"Mystery & Thriller, Crime",['Amazon Prime Video'],https://www.justwatch.com/in/movie/my-name-is-shruthi
Fighter,2024, 7.8,"Action & Adventure, Mystery & Thriller, War & Military",[],https://www.justwatch.com/in/movie/fighter-2022
Rebel Moon: Part One - A Child of Fire,2023, 5.6,"Action & Adventure, Drama, Fantasy, Science-Fiction",['Netflix'],https://www.justwatch.com/in/movie/rebel-moon
K.G.F: Chapter 2,2022, 8.3,"Action & Adventure, Crime, Drama, Mystery & Thriller","['Amazon Prime Video', 'Amazon Video']",https://www.justwatch.com/in/movie/k-g-f-chapter-2
Meg 2: The Trench,2023, 5.0,"Horror, Action & Adventure, Science-Fiction, Mystery & Thriller","['Apple TV', 'Jio Cinema', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/the-meg-2-the-trench
DD Returns,2023, 6.2,"Comedy, Horror",['Amazon Prime Video'],https://www.justwatch.com/in/movie/dd-returns
Conjuring Kannappan,2023, 6.1,"Horror, Comedy",['Netflix'],https://www.justwatch.com/in/movie/conjuring-kannappan
Migration,2023, 6.7,"Comedy, Animation, Action & Adventure, Kids & Family, Fantasy",[],https://www.justwatch.com/in/movie/migration
RRR,2022, 7.8,"Drama, Action & Adventure",['Netflix'],https://www.justwatch.com/in/movie/roudram-ranam-rudhiram
The Abandoned,2023, 6.3,"Mystery & Thriller, Drama, Crime",['Netflix'],https://www.justwatch.com/in/movie/the-abandoned-2023
Jailer,2023, 7.1,"Action & Adventure, Crime, Mystery & Thriller, Comedy","['Amazon Prime Video', 'Amazon Video']",https://www.justwatch.com/in/movie/jailer
Falimy,2023, 7.3,Drama,['Hotstar'],https://www.justwatch.com/in/movie/falimy
Joram,2023, 7.4,"Crime, Drama, Mystery & Thriller, Action & Adventure",['Bookmyshow'],https://www.justwatch.com/in/movie/joram
May December,2023, 6.9,"Drama, Comedy",[],https://www.justwatch.com/in/movie/may-december
Captain Miller,2024, 7.3,"Action & Adventure, Drama, Mystery & Thriller",['Bookmyshow'],https://www.justwatch.com/in/movie/captain-miller
Odavum Mudiyadhu Oliyavum Mudiyadhu,2024, 6.6,"Comedy, Horror",['Amazon Prime Video'],https://www.justwatch.com/in/movie/odavum-mudiyadhu-oliyavum-mudiyadhu
The Zone of Interest,2023, 7.9,"Drama, War & Military, History",[],https://www.justwatch.com/in/movie/the-zone-of-interest
Spider-Man: Across the Spider-Verse,2023, 8.6,"Science-Fiction, Animation, Action & Adventure, Comedy, Kids & Family, Fantasy","['Apple TV', 'Netflix', 'Zee5', 'Apple TV']",https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2
Expend4bles,2023, 4.8,"Action & Adventure, Mystery & Thriller, War & Military",['Lionsgate Play'],https://www.justwatch.com/in/movie/the-expendables-4
Ghoomer,2023, 7.8,"Drama, Sport",['Zee5'],https://www.justwatch.com/in/movie/ghoomer
