Title,Year,Rating,Genres,Streaming_Services,URL
Bigg Boss,2006, 3.7,"Reality TV, Kids & Family",['Voot'],https://www.justwatch.com/in/tv-show/bigg-boss
The Legend of Hanuman,2021, 9.2,"Animation, Action & Adventure, Fantasy",['Hotstar'],https://www.justwatch.com/in/tv-show/the-legend-of-hanuman
Jujutsu Kaisen,2020, 8.6,"Animation, Action & Adventure, Fantasy, Mystery & Thriller, Science-Fiction","['Crunchyroll', 'Netflix']",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
The Freelancer,2023, 8.1,"Mystery & Thriller, Action & Adventure, Drama",['Hotstar'],https://www.justwatch.com/in/tv-show/the-freelancer
The Last of Us,2023, 8.8,"Drama, Action & Adventure, Horror, Science-Fiction, Mystery & Thriller",['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-last-of-us
Farzi,2023, 8.4,"Crime, Drama, Mystery & Thriller",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/farzi
Killer Soup,2024, 6.3,"Mystery & Thriller, Comedy, Drama",['Netflix'],https://www.justwatch.com/in/tv-show/killer-soup
What If...?,2021, 7.5,"Science-Fiction, Animation, Action & Adventure",['Hotstar'],https://www.justwatch.com/in/tv-show/what-if-2021
Monarch: Legacy of Monsters,2023, 7.0,"Drama, Science-Fiction, Action & Adventure","['Apple TV Plus', 'Apple TV Plus']",https://www.justwatch.com/in/tv-show/monarch-legacy-of-monsters
Fool Me Once,2024, 6.8,"Crime, Drama, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/tv-show/fool-me-once
Maharani,2021, 7.9,Drama,['Sony Liv'],https://www.justwatch.com/in/tv-show/maharani-2021
Yellowstone,2018, 8.7,"Western, Drama",['Netflix'],https://www.justwatch.com/in/tv-show/yellowstone
