Title,Year,Rating,Genres,Streaming_Services,URL
Aarya,2020, 7.9,"Drama, Crime, Mystery & Thriller, Action & Adventure",['Hotstar'],https://www.justwatch.com/in/tv-show/aarya
The Rookie,2018, 8.0,"Drama, Comedy, Crime, Action & Adventure",[],https://www.justwatch.com/in/tv-show/the-rookie
Wednesday,2022, 8.1,"Science-Fiction, Crime, Fantasy, Comedy, Horror, Kids & Family",['Netflix'],https://www.justwatch.com/in/tv-show/wednesday
The Unwanted Undead Adventurer,2024,no rating info,"Action & Adventure, Science-Fiction","['Crunchyroll', 'Netflix']",https://www.justwatch.com/in/tv-show/the-unwanted-undead-adventurer
The Boys,2019, 8.7,"Science-Fiction, Action & Adventure, Crime, Drama, Comedy",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/the-boys
ted,2024, 8.0,Comedy,[],https://www.justwatch.com/in/tv-show/ted
Dhootha,2023, 7.8,"Drama, Mystery & Thriller",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/dhootha
Cubicles,2019, 8.2,"Comedy, Drama",['Sony Liv'],https://www.justwatch.com/in/tv-show/cubicles
Stranger Things,2016, 8.7,"Science-Fiction, Drama, Mystery & Thriller, Fantasy, Horror",['Netflix'],https://www.justwatch.com/in/tv-show/stranger-things
How I Met Your Mother,2005, 8.3,"Comedy, Drama, Romance",['Hotstar'],https://www.justwatch.com/in/tv-show/how-i-met-your-mother
Kübra,2024, 6.3,"Drama, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/tv-show/kubra
College Romance,2018, 8.3,"Comedy, Drama, Romance",['Sony Liv'],https://www.justwatch.com/in/tv-show/college-romance
Undekhi,2020,no rating info,"Crime, Drama",['Sony Liv'],https://www.justwatch.com/in/tv-show/undekhi
Shameless,2011, 8.5,"Drama, Comedy",['Netflix'],https://www.justwatch.com/in/tv-show/shameless
Luther,2010, 8.4,"Crime, Drama, Mystery & Thriller, Made in Europe",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/luther
Griselda,2024, 7.7,"Crime, Drama",['Netflix'],https://www.justwatch.com/in/tv-show/griselda
Sex Education,2019, 8.3,"Comedy, Drama, Romance",['Netflix'],https://www.justwatch.com/in/tv-show/sex-education
Yellowjackets,2021, 7.8,"Drama, Horror, Mystery & Thriller",['Jio Cinema'],https://www.justwatch.com/in/tv-show/yellowjackets
Modern Family,2009, 8.5,"Comedy, Drama, Romance",['Hotstar'],https://www.justwatch.com/in/tv-show/modern-family
Criminal Record,2024, 7.2,"Drama, Mystery & Thriller, Crime","['Apple TV Plus', 'Apple TV Plus']",https://www.justwatch.com/in/tv-show/criminal-record
Ek Thi Begum,2020, 8.6,"Crime, Drama, Mystery & Thriller",['MX Player'],https://www.justwatch.com/in/tv-show/ek-thi-begum
The Big Bang Theory,2007, 8.2,"Comedy, Romance",['Netflix'],https://www.justwatch.com/in/tv-show/the-big-bang-theory
Masters of the Air,2024, 8.2,"War & Military, Drama, Mystery & Thriller, Action & Adventure","['Apple TV Plus', 'Apple TV Plus']",https://www.justwatch.com/in/tv-show/masters-of-the-air
Slow Horses,2022, 8.1,"Drama, Mystery & Thriller, Crime, Comedy","['Apple TV Plus', 'Apple TV Plus']",https://www.justwatch.com/in/tv-show/slow-horses
Suits,2011, 8.4,"Comedy, Drama",['Netflix'],https://www.justwatch.com/in/tv-show/suits
Beef,2023, 8.0,"Comedy, Drama",['Netflix'],https://www.justwatch.com/in/tv-show/beef
Gen V,2023, 7.8,"Action & Adventure, Drama, Science-Fiction, Comedy",['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/gen-v
You,2018, 7.7,"Drama, Crime, Romance, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/tv-show/you
Blue Eye Samurai,2023, 8.8,"Drama, History, Mystery & Thriller, Animation, Action & Adventure",['Netflix'],https://www.justwatch.com/in/tv-show/blue-eye-samurai
The Curse,2023, 7.1,"Comedy, Drama, Mystery & Thriller",['Lionsgate Play'],https://www.justwatch.com/in/tv-show/the-curse
Apharan,2018, 8.3,"Drama, Crime, Mystery & Thriller, Action & Adventure",['Voot'],https://www.justwatch.com/in/tv-show/apharan
The Good Doctor,2017, 8.0,Drama,['Netflix'],https://www.justwatch.com/in/tv-show/the-good-doctor
Mashle: Magic and Muscles,2023, 7.5,"Comedy, Fantasy, Animation, Action & Adventure, Science-Fiction","['Crunchyroll', 'Crunchyroll']",https://www.justwatch.com/in/tv-show/mashle-magic-and-muscles
The Night Manager,2023, 7.6,"Crime, Drama, Mystery & Thriller, Action & Adventure",['Hotstar'],https://www.justwatch.com/in/tv-show/the-night-manager-2023
